Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,FaultBus,SampleCount,ExactBusAccuracy,GraphDistanceMAE,MajorConfusionBus,MajorConfusionCount
ieee14,ExtraTrees,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,14,36,1.0,0.0,-1,0
ieee14,RandomForest,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,2,36,1.0,0.0,-1,0
ieee14,RandomForest,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,6,36,0.9444444444444444,0.1111111111111111,14,2
ieee14,RandomForest,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,9,36,1.0,0.0,-1,0
ieee14,RandomForest,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,11,36,1.0,0.0,-1,0
ieee14,RandomForest,SpatialOnly,14,1;2;3;4;5;6;7;8;9;10;11;12;13;14,360,180,8,14,36,1.0,0.0,-1,0
ieee30,ExtraTrees,Baseline,3,6;1;2,360,180,40,1,36,0.75,1.25,30,9
ieee30,ExtraTrees,Baseline,3,6;1;2,360,180,40,6,36,0.0,3.0,30,36
ieee30,ExtraTrees,Baseline,3,6;1;2,360,180,40,10,36,0.75,1.0,30,9
ieee30,ExtraTrees,Baseline,3,6;1;2,360,180,40,24,36,0.75,0.75,30,9
ieee30,ExtraTrees,Baseline,3,6;1;2,360,180,40,30,36,1.0,0.0,-1,0
ieee30,RandomForest,Baseline,3,6;1;2,360,180,40,1,36,0.75,1.25,30,9
ieee30,RandomForest,Baseline,3,6;1;2,360,180,40,6,36,0.0,3.0,30,36
ieee30,RandomForest,Baseline,3,6;1;2,360,180,40,10,36,0.75,1.0,30,9
ieee30,RandomForest,Baseline,3,6;1;2,360,180,40,24,36,0.75,0.75,30,9
ieee30,RandomForest,Baseline,3,6;1;2,360,180,40,30,36,1.0,0.0,-1,0
ieee30,ExtraTrees,Baseline+NormVI,3,6;1;2,360,180,44,1,36,1.0,0.0,-1,0
ieee30,ExtraTrees,Baseline+NormVI,3,6;1;2,360,180,44,6,36,1.0,0.0,-1,0
ieee30,ExtraTrees,Baseline+NormVI,3,6;1;2,360,180,44,10,36,0.75,1.0,30,9
ieee30,ExtraTrees,Baseline+NormVI,3,6;1;2,360,180,44,24,36,0.75,0.75,30,9
