Network,Model,FeatureSet,WMUCount,SelectedWMUBuses,TrainCases,TestCases,FeatureColumnsPerWMU,CoarseCategory,SampleCount,Accuracy
ieee30,ExtraTrees,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,40,ThreePhase,45,1.0
ieee30,RandomForest,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,40,Ground,90,0.0
ieee30,RandomForest,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,40,Phase,45,0.0
ieee30,RandomForest,Baseline,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,40,ThreePhase,45,1.0
ieee30,ExtraTrees,Baseline+NormVI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,44,Ground,90,0.03333333333333333
ieee30,ExtraTrees,Baseline+NormVI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,44,Phase,45,0.28888888888888886
ieee30,ExtraTrees,Baseline+NormVI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,44,ThreePhase,45,1.0
ieee30,RandomForest,Baseline+NormVI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,44,Ground,90,0.0
ieee30,RandomForest,Baseline+NormVI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,44,Phase,45,0.0
ieee30,RandomForest,Baseline+NormVI,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,44,ThreePhase,45,1.0
ieee30,ExtraTrees,Baseline+NormVI+Rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,46,Ground,90,0.022222222222222223
ieee30,ExtraTrees,Baseline+NormVI+Rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,46,Phase,45,0.17777777777777778
ieee30,ExtraTrees,Baseline+NormVI+Rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,46,ThreePhase,45,1.0
ieee30,RandomForest,Baseline+NormVI+Rank,30,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30,360,180,46,Ground,90,0.0
