NetworkID,Model,Variant,WMUCount,CoarseCategory,Cases,ExactBusAccuracy,OneHopAccuracy,GraphDistanceMAE
ieee30,RandomForest,E_existing_norm_rank,3,Phase_to_Phase,45,0.8222222222222222,0.8222222222222222,0.5333333333333333
ieee30,RandomForest,E_existing_norm_rank,3,Three_Phase,45,1.0,1.0,0.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,3,Ground,90,1.0,1.0,0.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,3,Phase_to_Phase,45,0.8,0.8,0.6
ieee30,ExtraTrees,F_existing_norm_rank_vi,3,Three_Phase,45,1.0,1.0,0.0
ieee30,RandomForest,F_existing_norm_rank_vi,3,Ground,90,1.0,1.0,0.0
ieee30,RandomForest,F_existing_norm_rank_vi,3,Phase_to_Phase,45,0.8,0.8,0.6444444444444445
ieee30,RandomForest,F_existing_norm_rank_vi,3,Three_Phase,45,1.0,1.0,0.0
ieee30,ExtraTrees,Baseline,5,Ground,90,0.7777777777777778,0.7777777777777778,1.1111111111111112
ieee30,ExtraTrees,Baseline,5,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,ExtraTrees,Baseline,5,Three_Phase,45,0.7777777777777778,0.7777777777777778,1.1111111111111112
ieee30,RandomForest,Baseline,5,Ground,90,0.2,0.2,3.0
ieee30,RandomForest,Baseline,5,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,RandomForest,Baseline,5,Three_Phase,45,0.2,0.2,3.0
ieee30,ExtraTrees,A_voltage_only,5,Ground,90,0.9777777777777777,0.9777777777777777,0.1111111111111111
ieee30,ExtraTrees,A_voltage_only,5,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,ExtraTrees,A_voltage_only,5,Three_Phase,45,0.8888888888888888,0.8888888888888888,0.5555555555555556
ieee30,RandomForest,A_voltage_only,5,Ground,90,0.8,0.8,1.0
ieee30,RandomForest,A_voltage_only,5,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,RandomForest,A_voltage_only,5,Three_Phase,45,0.8222222222222222,0.8222222222222222,0.8888888888888888
ieee30,ExtraTrees,B_current_only,5,Ground,90,0.2,0.2,3.0
ieee30,ExtraTrees,B_current_only,5,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,ExtraTrees,B_current_only,5,Three_Phase,45,0.2,0.2,3.0
ieee30,RandomForest,B_current_only,5,Ground,90,0.2,0.2,3.0
ieee30,RandomForest,B_current_only,5,Phase_to_Phase,45,0.2,0.2,3.0
ieee30,RandomForest,B_current_only,5,Three_Phase,45,0.2,0.2,3.0
ieee30,ExtraTrees,C_existing_VC,5,Ground,90,0.6777777777777778,0.6777777777777778,1.6111111111111112
