NetworkID,Model,Variant,WMUCount,TrueFaultBus,Cases,ExactBusAccuracy
ieee30,ExtraTrees,F_existing_norm_rank_vi,30,1,36,1.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,30,6,36,1.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,30,10,36,1.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,30,24,36,1.0
ieee30,ExtraTrees,F_existing_norm_rank_vi,30,30,36,1.0
ieee30,RandomForest,A_voltage_only,3,1,36,1.0
ieee30,RandomForest,A_voltage_only,3,6,36,0.75
ieee30,RandomForest,A_voltage_only,3,10,36,0.75
ieee30,RandomForest,A_voltage_only,3,24,36,0.75
ieee30,RandomForest,A_voltage_only,3,30,36,0.75
ieee30,RandomForest,A_voltage_only,5,1,36,1.0
ieee30,RandomForest,A_voltage_only,5,6,36,0.75
ieee30,RandomForest,A_voltage_only,5,10,36,0.75
ieee30,RandomForest,A_voltage_only,5,24,36,0.75
ieee30,RandomForest,A_voltage_only,5,30,36,0.027777777777777776
ieee30,RandomForest,A_voltage_only,30,1,36,1.0
ieee30,RandomForest,A_voltage_only,30,6,36,0.75
ieee30,RandomForest,A_voltage_only,30,10,36,0.75
ieee30,RandomForest,A_voltage_only,30,24,36,0.75
ieee30,RandomForest,A_voltage_only,30,30,36,0.027777777777777776
ieee30,RandomForest,B_current_only,3,1,36,1.0
ieee30,RandomForest,B_current_only,3,6,36,0.0
ieee30,RandomForest,B_current_only,3,10,36,0.0
ieee30,RandomForest,B_current_only,3,24,36,0.0
ieee30,RandomForest,B_current_only,3,30,36,0.027777777777777776
ieee30,RandomForest,B_current_only,5,1,36,1.0
ieee30,RandomForest,B_current_only,5,6,36,0.0
ieee30,RandomForest,B_current_only,5,10,36,0.0
ieee30,RandomForest,B_current_only,5,24,36,0.0
ieee30,RandomForest,B_current_only,5,30,36,0.0
ieee30,RandomForest,B_current_only,30,1,36,1.0
ieee30,RandomForest,B_current_only,30,6,36,0.0
ieee30,RandomForest,B_current_only,30,10,36,0.0
ieee30,RandomForest,B_current_only,30,24,36,0.0
ieee30,RandomForest,B_current_only,30,30,36,0.0
ieee30,RandomForest,Baseline,3,1,36,0.75
ieee30,RandomForest,Baseline,3,6,36,0.0
ieee30,RandomForest,Baseline,3,10,36,0.0
ieee30,RandomForest,Baseline,3,24,36,0.75
ieee30,RandomForest,Baseline,3,30,36,1.0
ieee30,RandomForest,Baseline,5,1,36,1.0
ieee30,RandomForest,Baseline,5,6,36,0.0
ieee30,RandomForest,Baseline,5,10,36,0.0
ieee30,RandomForest,Baseline,5,24,36,0.0
ieee30,RandomForest,Baseline,5,30,36,0.0
ieee30,RandomForest,Baseline,30,1,36,1.0
